,all,counts,male,,mostly_male,,female,,mostly_female,,andy,,unknown,
243,”,67,left,28.0,paper,4.0,options,20.0,exercise,3.0,i.e,1.0,focus,13.0
244,hot,67,court,28.0,wipe,4.0,employees,20.0,instructor,3.0,5pm,1.0,terrible,13.0
245,amenities,67,program,28.0,customer,4.0,busy,20.0,owners,3.0,weekday,1.0,spot,12.0
246,point,66,john,28.0,star,4.0,card,20.0,journey,3.0,trouble,1.0,keeping,12.0
247,real,66,start,27.0,levels,4.0,orangetheory,20.0,pilates,3.0,waiting,1.0,visit,12.0
248,vibe,65,sense,27.0,felt,4.0,set,20.0,trx,3.0,lacking,1.0,positive,12.0
249,focus,65,fee,27.0,helping,4.0,athlete,20.0,check,3.0,greatest,1.0,real,12.0
250,clients,65,charge,27.0,programs,4.0,beautiful,20.0,strong,3.0,awful,1.0,card,12.0
251,fee,65,hands,27.0,ability,4.0,lake,20.0,head,3.0,sickening,1.0,cleaning,12.0
252,pf,65,provide,27.0,clients,4.0,visit,20.0,challenged,3.0,lifetime,1.0,provide,12.0
253,sense,64,couple,27.0,change,4.0,pure,20.0,limits,3.0,thinks,1.0,paper,12.0
254,support,64,absolutely,27.0,program,4.0,kids,20.0,wall,3.0,privatise,1.0,spin,12.0
255,problem,63,power,27.0,fine,4.0,asf,20.0,conditioning,3.0,public,1.0,customers,12.0
256,large,63,support,26.0,building,4.0,routine,19.0,updates,3.0,water,1.0,comfortable,12.0
257,stay,62,terrible,26.0,jared,4.0,mind,19.0,update,3.0,hope,1.0,forget,12.0
258,charged,62,early,26.0,flexible,4.0,reach,19.0,upstairs,3.0,worst,1.0,polite,12.0
259,physical,61,20,26.0,huge,4.0,--,19.0,sign,3.0,nicer,1.0,fixed,12.0
260,management,61,issue,26.0,positive,4.0,knew,19.0,towel,3.0,places,1.0,experienced,12.0
261,couple,61,ymca,26.0,lifestyle,4.0,bit,19.0,summer,3.0,jason,1.0,changed,12.0
262,john,61,night,26.0,group,4.0,schedule,19.0,bar,3.0,greet,1.0,guys,12.0
263,early,60,drop,26.0,early,4.0,melissa,19.0,kids,3.0,treating,1.0,attentive,12.0
