,neg,neu,pos,compound,place_id
247,0.0,0.734,0.266,0.8271,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
248,0.324,0.615,0.06,-0.8902,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
249,0.0,0.761,0.239,0.8439,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
250,0.0,0.84,0.16,0.6908,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
251,0.0,0.397,0.603,0.9532,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
252,0.0,0.749,0.251,0.886,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
253,0.0,0.616,0.384,0.9093,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
254,0.0,0.545,0.455,0.9239,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
255,0.0,0.598,0.402,0.9474,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
256,0.0,0.435,0.565,0.8442,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
257,0.059,0.49,0.451,0.9044,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
258,0.0,0.684,0.316,0.8655,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
259,0.0,0.446,0.554,0.9559,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
260,0.085,0.9,0.015,-0.7269,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
261,0.0,0.588,0.412,0.912,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
262,0.0,0.766,0.234,0.7269,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
263,0.0,0.884,0.116,0.5499,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
264,0.0,0.648,0.352,0.8271,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
265,0.0,0.863,0.137,0.4019,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
266,0.0,0.784,0.216,0.6705,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
267,0.074,0.926,0.0,-0.25,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
268,0.0,0.718,0.282,0.7096,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
269,0.0,0.547,0.453,0.9272,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
270,0.098,0.902,0.0,-0.1045,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
271,0.0,0.669,0.331,0.9081,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
272,0.188,0.68,0.132,-0.358,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
273,0.0,0.601,0.399,0.923,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
274,0.199,0.734,0.067,-0.6187,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
275,0.0,0.546,0.454,0.923,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
276,0.0,0.845,0.155,0.6588,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
277,0.04,0.838,0.121,0.4215,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
278,0.0,0.716,0.284,0.9095,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
279,0.16,0.84,0.0,-0.6705,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
280,0.0,0.628,0.372,0.8717,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
281,0.126,0.765,0.109,-0.1139,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
282,0.0,0.782,0.218,0.7717,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
283,0.0,0.604,0.396,0.7096,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
284,0.0,0.636,0.364,0.8834,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
285,0.0,0.518,0.482,0.8795,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
286,0.091,0.779,0.13,0.2247,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
287,0.278,0.722,0.0,-0.6126,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
288,0.081,0.919,0.0,-0.3182,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
289,0.085,0.684,0.231,0.3716,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
290,0.0,0.745,0.255,0.5859,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
291,0.0,0.682,0.318,0.6808,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
292,0.0,0.439,0.561,0.7506,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
293,0.0,0.696,0.304,0.807,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
294,0.0,0.821,0.179,0.6124,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
295,0.0,0.641,0.359,0.807,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
